Exchange Date,Close,Net,%Chg,Open,Low,High,log_return
10-Mar-2021,"3,898.8051",+23.3626,+0.6028%,"3,898.8051","3,898.8051","3,898.8051",0.006010272
09-Mar-2021,"3,875.4425",+54.0958,+1.4156%,"3,875.4425","3,875.4425","3,875.4425",0.01405695
08-Mar-2021,"3,821.3467",-20.5947,-0.5360%,"3,821.3467","3,821.3467","3,821.3467",-0.005374912
05-Mar-2021,"3,841.9414",+73.4677,+1.9495%,"3,841.9414","3,841.9414","3,841.9414",0.019307746
04-Mar-2021,"3,768.4737",-51.2428,-1.3415%,"3,768.4737","3,768.4737","3,768.4737",-0.01350614
03-Mar-2021,"3,819.7165",-50.5773,-1.3068%,"3,819.7165","3,819.7165","3,819.7165",-0.013154216
02-Mar-2021,"3,870.2938",-31.5218,-0.8079%,"3,870.2938","3,870.2938","3,870.2938",-0.008111562
01-Mar-2021,"3,901.8156",+90.6659,+2.3790%,"3,901.8156","3,901.8156","3,901.8156",0.023511081
26-Feb-2021,"3,811.1497",-18.1864,-0.4749%,"3,811.1497","3,811.1497","3,811.1497",-0.004760544
25-Feb-2021,"3,829.3361",-96.0915,-2.4479%,"3,829.3361","3,829.3361","3,829.3361",-0.024783842
24-Feb-2021,"3,925.4276",+44.0587,+1.1351%,"3,925.4276","3,925.4276","3,925.4276",0.011287387
23-Feb-2021,"3,881.3689",+4.8690,+0.1256%,"3,881.3689","3,881.3689","3,881.3689",0.001255242
22-Feb-2021,"3,876.4999",-30.2079,-0.7732%,"3,876.4999","3,876.4999","3,876.4999",-0.007762366
19-Feb-2021,"3,906.7078",-7.2635,-0.1856%,"3,906.7078","3,906.7078","3,906.7078",-0.001857512
18-Feb-2021,"3,913.9713",-17.3592,-0.4416%,"3,913.9713","3,913.9713","3,913.9713",-0.004425382
17-Feb-2021,"3,931.3305",-1.2588,-0.0320%,"3,931.3305","3,931.3305","3,931.3305",-0.000320146
16-Feb-2021,"3,932.5893",-2.2444,-0.0570%,"3,932.5893","3,932.5893","3,932.5893",-0.000570555
12-Feb-2021,"3,934.8337",+18.4587,+0.4713%,"3,934.8337","3,934.8337","3,934.8337",0.004702138
11-Feb-2021,"3,916.3750",+6.4953,+0.1661%,"3,916.3750","3,916.3750","3,916.3750",0.001659875
10-Feb-2021,"3,909.8797",-1.3480,-0.0345%,"3,909.8797","3,909.8797","3,909.8797",-0.000344708
09-Feb-2021,"3,911.2277",-4.3609,-0.1114%,"3,911.2277","3,911.2277","3,911.2277",-0.001114348
08-Feb-2021,"3,915.5886",+28.7569,+0.7399%,"3,915.5886","3,915.5886","3,915.5886",0.00737131
05-Feb-2021,"3,886.8317",+15.0911,+0.3898%,"3,886.8317","3,886.8317","3,886.8317",0.003890179
04-Feb-2021,"3,871.7406",+41.5681,+1.0853%,"3,871.7406","3,871.7406","3,871.7406",0.010794332
03-Feb-2021,"3,830.1725",+3.8596,+0.1009%,"3,830.1725","3,830.1725","3,830.1725",0.001008191
02-Feb-2021,"3,826.3129",+52.4558,+1.3900%,"3,826.3129","3,826.3129","3,826.3129",0.013804068
01-Feb-2021,"3,773.8571",+59.6144,+1.6050%,"3,773.8571","3,773.8571","3,773.8571",0.015922774
29-Jan-2021,"3,714.2427",-73.1342,-1.9310%,"3,714.2427","3,714.2427","3,714.2427",-0.019498861
28-Jan-2021,"3,787.3769",+36.6037,+0.9759%,"3,787.3769","3,787.3769","3,787.3769",0.009711663
27-Jan-2021,"3,750.7732",-98.8481,-2.5677%,"3,750.7732","3,750.7732","3,750.7732",-0.026012774
26-Jan-2021,"3,849.6213",-5.7344,-0.1487%,"3,849.6213","3,849.6213","3,849.6213",-0.001488493
25-Jan-2021,"3,855.3557",+13.8901,+0.3616%,"3,855.3557","3,855.3557","3,855.3557",0.003609312
22-Jan-2021,"3,841.4656",-11.6077,-0.3013%,"3,841.4656","3,841.4656","3,841.4656",-0.003017129
21-Jan-2021,"3,853.0733",+1.2274,+0.0319%,"3,853.0733","3,853.0733","3,853.0733",0.000318602
20-Jan-2021,"3,851.8459",+52.9384,+1.3935%,"3,851.8459","3,851.8459","3,851.8459",0.013838963
19-Jan-2021,"3,798.9075",+30.6612,+0.8137%,"3,798.9075","3,798.9075","3,798.9075",0.008103805
15-Jan-2021,"3,768.2463",-27.2951,-0.7191%,"3,768.2463","3,768.2463","3,768.2463",-0.007217341
14-Jan-2021,"3,795.5414",-14.3019,-0.3754%,"3,795.5414","3,795.5414","3,795.5414",-0.003760998
13-Jan-2021,"3,809.8433",+8.6522,+0.2276%,"3,809.8433","3,809.8433","3,809.8433",0.002273595
